a_acc,a_don,b_rotN,density,logP(o/w),logS,rings,Weight,Activity_value
3,3,2,0.82603145,2.9890001,-4.5780101,2,321.44101,1
3,3,4,0.85908711,2.006,-3.1197,3,318.397,1
3,3,2,0.82603145,2.9890001,-4.2645602,2,321.44101,1
3,3,2,0.81735581,3.431,-5.0932298,2,335.46799,1
3,3,2,0.82603145,3.0280001,-4.2645602,2,321.44101,1
5,5,8,0.87757474,0.58499998,-1.48031,2,354.34299,1
3,3,2,0.81735581,3.431,-5.0932298,2,335.46799,1
6,6,5,1.0304055,-1.592,0.43968001,1,266.19,1
3,3,2,0.81735581,3.47,-4.7797799,2,335.46799,1
3,3,2,0.82603145,3.0280001,-4.2645602,2,321.44101,1
3,3,2,0.81735581,3.47,-4.7797799,2,335.46799,1
5,5,8,0.82856292,1.571,-2.1637001,1,294.35098,1
5,4,9,0.84382373,0.405,-1.9559,1,299.371,1
5,4,8,0.84382373,0.32100001,-1.9559,1,299.371,1
6,6,10,0.88563055,-1.574,-1.1205601,1,342.39999,1
5,4,8,0.83275557,0.442,-2.2258501,2,333.388,1
4,3,5,0.91678149,0.40400001,-0.99344999,1,232.304,1
15,13,35,0.86171573,-1.072,-6.9749599,6,1119.292,1
6,4,7,0.89519715,1.854,-3.23755,2,365.40601,1
6,5,7,0.81337768,3.7030001,-4.1528001,4,436.508,1
5,5,7,0.83933896,1.1289999,-1.6484801,1,280.32401,1
5,7,10,0.85124177,0.185,-2.2936599,2,360.418,1
4,5,8,0.81076521,2.0799999,-2.8155501,2,317.38901,1
4,5,6,0.84015524,0.66600001,-1.89679,2,275.30798,1
4,5,6,0.85246623,0.204,-1.56958,2,261.28101,1
3,4,7,0.85679209,2.029,-2.9503701,2,306.38599,1
3,4,6,0.86894459,2.2049999,-3.1938901,2,292.35901,1
7,5,14,0.89782065,2.898,-4.7108202,3,530.64697,1
7,5,15,0.82479596,3.773,-5.3998599,3,522.62299,1
7,5,16,0.83082676,2.7839999,-3.9955101,2,476.50998,1
7,5,14,0.8520571,1.783,-2.72403,2,440.47699,1
7,5,15,0.82479596,3.0739999,-4.2261901,3,516.57501,1
3,2,4,0.928195,0.071000002,-1.178,1,201.246,1
6,5,4,0.93510145,-0.15899999,-0.55487001,2,267.237,1
3,3,5,0.9588896,-0.077,-0.95653999,0,177.224,1
3,3,5,0.99608183,-0.53899997,-0.62932998,0,163.19701,1
4,2,3,0.93612856,0.74599999,-1.78344,2,270.30899,1
3,3,5,1.0628163,-0.055,-1.73587,0,195.263,1
7,6,11,0.84573042,1.518,-3.1221001,3,445.51599,1
7,6,11,0.84573042,1.518,-3.1221001,3,445.51599,1
3,2,4,0.90498012,0.68099999,-1.27749,1,217.289,1
3,4,6,0.88260132,1.571,-2.8666799,2,278.332,1
3,4,6,0.85679209,2.7839999,-3.5211,2,306.38599,1
5,4,9,0.91182971,2.2249999,-4.1595898,3,443.52499,1
7,5,16,0.84734005,3.6700001,-5.3379998,3,548.64099,1
9,5,16,0.86185551,2.4890001,-3.9506099,3,520.51898,1
5,4,5,0.93090367,-0.54699999,0.034979999,1,215.205,1
8,7,13,0.86760008,0.052000001,-1.5894001,2,426.51398,1
6,5,8,0.90840477,0.639,-1.6734,2,356.315,1
3,2,3,0.86429691,1.5650001,-2.08566,1,230.328,1
5,4,6,0.88969851,0.26499999,-0.36855999,1,243.25899,1
5,4,5,0.90868109,-0.177,-0.16678999,1,229.23199,1
3,2,3,0.89595979,1.263,-1.70443,2,243.327,1
4,3,8,0.78802693,2.161,-2.3306301,2,304.38998,1
2,0,6,0.84301579,1.785,-2.4696801,1,259.37,1
3,4,7,0.86894459,1.659,-2.7486,2,292.35901,1
7,5,15,0.86982608,2.016,-3.5141399,2,486.57001,1
7,5,15,0.86982608,2.016,-3.5141399,2,486.57001,1
7,5,16,0.88499767,3.25,-4.5619798,2,532.66302,1
9,5,18,0.84352911,2.4827399,-4.0962701,2,536.56201,1
6,4,4,0.9784593,-1.044,-0.30390999,2,269.21298,1
6,5,5,1.0234981,-1.863,0.58226001,1,251.175,1
6,5,11,0.85140634,1.781,-3.47878,3,458.45099,1
7,6,14,0.85708463,1.6799999,-2.7161601,2,435.47699,1
7,6,8,0.90237832,-1.005,-0.18846001,1,287.31598,1
7,6,12,0.83240879,1.414,-2.0941601,2,391.46799,1
6,5,11,0.85140634,1.262,-3.3962801,3,458.45099,1
7,5,13,0.85403949,2.6140001,-4.0650501,4,529.58997,1
7,6,16,0.83394021,3.4070001,-5.75945,4,573.60199,1
8,7,18,0.84935337,1.941,-4.2267499,3,554.59998,1
5,4,9,0.82401496,1.053,-2.60919,2,347.41498,1
4,3,7,0.91520405,-0.1,-1.5755,1,274.341,1
5,4,9,0.80403203,3.4679999,-4.0430598,3,395.45499,1
6,5,8,0.82652491,2.2290001,-2.52824,2,362.42599,1
7,5,7,0.84814477,1.084,-2.12274,3,375.42499,1
3,2,4,0.85126865,1.8430001,-2.6768799,2,279.35999,1
3,2,5,0.9457466,0.064999998,-0.55194998,0,162.209,1
7,6,9,0.86054438,1.479,-1.96452,2,364.39798,1
8,6,14,0.87260562,0.76800001,-2.31972,2,456.47598,1
7,5,15,0.82479596,3.0739999,-4.2261901,3,516.57501,1
7,5,16,0.83082676,3.109,-3.6427901,2,482.55798,1
7,5,14,0.8368187,2.8110001,-4.1793799,3,488.521,1
7,5,15,0.82479596,3.773,-5.3998599,3,522.62299,1
6,5,6,0.91971534,-0.65200001,-0.29532999,1,244.24699,1
3,2,7,0.84103525,1.655,-2.35271,1,267.349,1
3,2,7,0.87442529,2.0999999,-2.6942999,1,254.306,1
7,5,9,0.85229218,1.234,-2.6821899,3,417.46201,1
6,5,4,1.0561216,-1.951,0.46417999,1,237.14799,1
6,5,9,0.81926286,2.8929999,-3.6584101,3,402.491,1
3,2,5,0.94498533,-0.34200001,-0.52333999,0,177.224,1
8,7,18,0.84935337,2.2950001,-3.9153299,3,560.64801,1
7,6,11,0.85913956,0.77999997,-2.3754499,2,391.42398,1
3,3,7,0.86171067,1.4579999,-2.4586999,1,253.32199,1
3,3,6,0.90416372,0.89499998,-1.36008,0,205.278,1
7,6,11,1.0678742,1.97,-3.3669701,2,517.32001,1
4,3,5,0.93511403,1.6569999,-2.9507401,2,313.39801,1
7,5,10,0.87360245,1.079,-1.88702,2,398.396,1
